# SPOT, PRICE, DELTA, VEGA
3.099885375711033220e+01,8.813689729646112525e+00,-9.817045064946183786e-01,4.120172219437437278e+00
4.075861438967071138e+01,2.409991421872985207e+00,-9.079013365552763837e-01,5.544809340161575228e+00
1.833606614720585171e+01,1.333413559736336573e+01,-6.379047887771339687e-01,1.179991046156797951e+00
4.334419735966976361e+01,1.442294575436284365e+00,-8.915123562657766287e-01,5.458578189007830872e+00
3.758344820738619774e+01,3.919162791398583590e+00,-9.243814106580955370e-01,5.226458266237386852e+00
4.041308636822239464e+01,2.527524377621845009e+00,-9.079164820137038960e-01,5.575992105080108452e+00
2.574437195905649034e+01,1.373893004172892951e+01,-9.922230232186811660e-01,2.718116933479565844e+00
3.546746279089077802e+01,5.123675126365616173e+00,-9.462171086336339521e-01,4.672109632171166815e+00
3.148398476779557242e+01,8.319212825059913996e+00,-9.859751696320019354e-01,3.924057843075166474e+00
3.345994123937317255e+01,6.435272921883701258e+00,-9.760681255267554812e-01,4.041997508952973384e+00
3.940623172428986010e+01,2.943105143776819865e+00,-9.148635709750195799e-01,5.435123955737000578e+00
2.971365523231935768e+01,1.007183349724508759e+01,-9.918594092985050237e-01,3.905336701023426116e+00
2.748961972622899097e+01,1.241204527423855453e+01,-9.901749875058022399e-01,3.787907895567189431e+00
2.059176063309490345e+01,1.929047501494224903e+01,-1.005585666456775051e+00,2.484358436387381630e+00
4.115497504909257032e+01,2.185230832121102917e+00,-9.105799871372891596e-01,5.500954518842191554e+00
3.977721870489700962e+01,2.769763558707025730e+00,-9.121983129622860398e-01,5.499804225656095724e+00
4.664101984994746886e+01,7.608816021726663159e-01,-8.822435509163801814e-01,5.396927179753429726e+00
2.469765447304343553e+01,1.548529985038317491e+01,-9.913314361133094277e-01,1.432049693858121531e+00
4.395417071523653618e+01,1.297495846564805211e+00,-8.971563657566542505e-01,5.468942499689170234e+00
2.536849620948059680e+01,1.461691163734364629e+01,-9.965153700398002856e-01,3.261564732578263293e+00
1.833728082998196740e+01,2.140302954091459142e+01,-1.014161839561231737e+00,3.592575365594959380e-01
2.222856003636823985e+01,1.681358307440771327e+01,-9.921854250636903405e-01,9.835726371751383201e-01
4.705728067445289753e+01,7.015054110668514920e-01,-8.884308739761956897e-01,5.425491250466675019e+00
4.052954662866250857e+01,2.435441485224379310e+00,-9.050799320457350028e-01,5.466670538523541900e+00
2.770105768110589040e+01,1.198162745060573187e+01,-1.001328269778157809e+00,3.103547177271589241e+00
1.701354620682615959e+01,2.290267838155299884e+01,-9.996811606285471719e-01,1.553432510489026974e+00
3.300802939870613528e+01,6.945973756163603241e+00,-9.744244017400732760e-01,4.175612409252579482e+00
4.414402188219094114e+01,1.268354930690851257e+00,-8.965185066480026999e-01,5.469327135940388551e+00
4.643173330966261858e+01,8.101488883856058365e-01,-8.861500410955509555e-01,5.440687140821444778e+00
3.129294022487211535e+01,8.682849542902557616e+00,-9.787868155074556098e-01,4.247318757042604531e+00
2.097037281439458312e+01,1.906258332136045297e+01,-9.767407027012812160e-01,1.807917771171382304e+00
4.267514904611545035e+01,1.678560043456429618e+00,-8.972721023159859755e-01,5.495090946489946226e+00
1.983972000992501350e+01,2.011624412082820257e+01,-9.933686498253363473e-01,1.280337435512668876e+00
3.087281634344508774e+01,8.946285631053038756e+00,-9.846305197808363774e-01,3.852912963540562341e+00
2.196980747944346390e+01,1.438867738368864480e+01,-7.655890861823412274e-01,6.853817568762082812e-01
3.783673414716855632e+01,3.764282064478507550e+00,-9.244414581271055420e-01,5.260272300570869142e+00
3.169951366723920572e+01,7.985502874746120305e+00,-9.869962086054872019e-01,3.567525184991047649e+00
1.926427995632302270e+01,2.030555117765512207e+01,-9.886094297593424063e-01,1.575566775395411900e+00
3.130356797005812197e+01,8.731989443550199681e+00,-9.778655185295033192e-01,4.442356457825716198e+00
2.447274871727324097e+01,1.503215625078771644e+01,-9.555010244848824996e-01,2.377709910351765377e+00
3.257243828411114350e+01,7.458214541480024273e+00,-9.696305581243427341e-01,4.321786766907626642e+00
3.068235737927611950e+01,9.039122724538120934e+00,-9.909722786071053502e-01,3.796506973405541885e+00
4.106713115550495274e+01,2.251810076149225903e+00,-9.059894574202373985e-01,5.495317438528374510e+00
3.393350196139377317e+01,6.219740485556112475e+00,-9.612873398241619238e-01,4.423396947471213814e+00
2.546717406159572050e+01,1.430037864965159677e+01,-1.003910533855734144e+00,2.414771388181599754e+00
2.061973397106334005e+01,1.937939197687079940e+01,-9.994022256566653661e-01,1.356853788088191015e+00
4.099793264364319612e+01,2.316585453864297595e+00,-9.027135287140424236e-01,5.572334596330350109e+00
1.907095426881915401e+01,2.062297184594397947e+01,-1.003989441536035310e+00,1.397969676988383592e+00
3.693904695946258698e+01,4.206771322704369709e+00,-9.306928917275945068e-01,4.994216148114623444e+00
4.174542054425731408e+01,1.974582522308004906e+00,-9.017806357930904237e-01,5.520573443327853269e+00
1.746859560958113278e+01,1.818875547349604460e+01,-8.413981784799210439e-01,4.451200902729433584e-01
4.345691543307517435e+01,1.463601899820989427e+00,-9.015018894999851096e-01,5.470626714837663940e+00
3.768175320731108968e+01,3.810244891641012099e+00,-9.270799463203208690e-01,5.185046188807747924e+00
1.943523469031465112e+01,1.809465505196175883e+01,-8.925101870101048718e-01,2.050483896710152631e+00
1.638057574372616187e+01,2.076545331562359209e+01,-8.880119302245839119e-01,9.235896480661551777e-01
3.057399249125547769e+01,9.475647607057632982e+00,-9.801121153789317253e-01,4.440104127643154541e+00
2.073025598576446527e+01,1.937079294339006807e+01,-9.929259037397226706e-01,1.321012131497866671e+00
3.957671575655177776e+01,2.813129364833753865e+00,-9.143942799333080185e-01,5.435329553383017043e+00
2.044252129286294917e+01,1.916803982361056313e+01,-9.577859744348293791e-01,1.739928297896103260e+00
3.068074464472479335e+01,9.125318543245180436e+00,-9.890922799006215405e-01,3.946055063637331273e+00
4.008099994848198833e+01,2.633513843677356636e+00,-9.080303232832935834e-01,5.525189600091587216e+00
2.094002347574927825e+01,1.896135802251949798e+01,-9.821139537979513001e-01,1.742217798826016351e+00
3.055412572685090566e+01,9.122847582052044046e+00,-9.926657582248000766e-01,3.648958268099696589e+00
3.494082563653972073e+01,5.547241962987661701e+00,-9.514438258844901686e-01,4.691913925661137519e+00
2.798918025225050954e+01,1.187858688717630073e+01,-9.951873660299673796e-01,3.700216413026496731e+00
1.887930757169275253e+01,2.088628315454175066e+01,-1.012225515840017298e+00,1.353467944124700173e+00
4.586038220394028997e+01,8.987949978395325390e-01,-8.919577410914705240e-01,5.468221829549243296e+00
1.636521140961723120e+01,2.283408202204494231e+01,-9.654087309052786781e-01,1.206641727267518949e+00
4.780442190274992953e+01,5.993996520031961150e-01,-8.856395517381033811e-01,5.452726282168051775e+00
1.630800241993257416e+01,2.383749727768119442e+01,-9.790839068556408398e-01,1.086453050570008294e+00
4.337238747119346982e+01,1.470980776565595116e+00,-9.018366520206343440e-01,5.468238573875006558e+00
4.325894176567836524e+01,1.500963350294973075e+00,-8.977594138308707672e-01,5.541395631714538972e+00
4.602108783220536736e+01,8.642576739610058345e-01,-8.797967079929465140e-01,5.426688966326657315e+00
3.955366676280763727e+01,2.860440344874406460e+00,-9.154916251585394349e-01,5.435391842497584669e+00
2.502685265158936545e+01,1.063787280528789836e+01,-7.043668426293314688e-01,4.653996180602726351e-01
3.844179966051112274e+01,3.396865148153062730e+00,-9.204940390521181293e-01,5.296731735325749035e+00
4.185826532928555821e+01,1.938938982676015277e+00,-9.051174120742758733e-01,5.527962170464228109e+00
4.395374430880701766e+01,1.287165437715730665e+00,-8.947991262479054742e-01,5.409272781047890888e+00
2.973142591999809525e+01,9.793196985943463773e+00,-9.944280967053440445e-01,3.527035029288024148e+00
4.726461884013015435e+01,6.591351721947829034e-01,-8.910424237026535188e-01,5.393619955351556250e+00
